Rule_Id,Rule_Name,Database,Query,Threshold,Status
1,kde_enriched_auth_event_type,wallet_services_analytics_gcdb,"select count(*) from wallet_transactions_enriched_data_curated where event_type is null and create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
2,kde_enriched_auth_transaction_id,wallet_services_analytics_gcdb,"select count(*) FROM wallet_transactions_enriched_data_curated where lower('event_type')='complete' and transaction_id is null and create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
3,kde_enriched_auth_amount,wallet_services_analytics_gcdb,"select count(*) from wallet_transactions_enriched_data_curated where lower('event_type')='complete' AND amount is null and create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
4,kde_mesh_auth_list,wallet_fraud_analytics_gcdb,"select count(*) FROM wallet_mesh_data_curated where app='walletcheckout' and authentication_event_list is null and createyear=date_format(date_add('hour', -1, current_timestamp),'%Y%') and createmonth =date_format(date_add('hour', -1, current_timestamp),'%m%') and createdate=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
5,kde_session_id_correspondence,wallet_services_analytics_gcdb,"SELECT count(session_id) from wallet_transactions_enriched_data_curated where create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%') and cast(ingest_time AS timestamp) < current_timestamp - interval '3' hour AND session_id NOT IN (SELECT ewsid from wallet_fraud_analytics_gcdb.wallet_mesh_data_curated where createyear=date_format(date_add('hour', -1, current_timestamp),'%Y%') and createmonth =date_format(date_add('hour', -1, current_timestamp),'%m%') and createdate=date_format(date_add('hour', -1, current_timestamp),'%d%')) ",0,Active
7,kde_transactions_timestamp,wallet_services_analytics_gcdb,"SELECT count(*) from wallet_transactions_data_curated where transaction_timestamp is null and create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
8,kde_fls_transactions_posteddttm,wallet_services_analytics_gcdb,"SELECT count(*) from wallet_fls_eligible_transactions_data_curated where posted_datetime is null and create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%')",0,Active
10,fls_eligible_transactions,wallet_services_analytics_gcdb,"with src as (select coalesce(sum(case when posted_datetime is null then 1 else 0 end),0) as txn_with_posteddate_null_count,count(*) as total_flseligible_txn_count from wallet_fls_eligible_transactions_data_pitv) select sum(txn_with_posteddate_null_count) from src where txn_with_posteddate_null_count>0 and total_flseligible_txn_count>0",0,Active
6,kde_session_id_correspondence,wallet_services_analytics_gcdb,"with enriched_stat as (SELECT count(distinct session_id) as enriched_count from wallet_transactions_enriched_data_curated where create_year=date_format(date_add('hour', -1, current_timestamp),'%Y%') and create_month =date_format(date_add('hour', -1, current_timestamp),'%m%') and create_date=date_format(date_add('hour', -1, current_timestamp),'%d%') and cast(ingest_time AS timestamp) < current_timestamp - interval '3' hour AND session_id NOT IN (SELECT ewsid from wallet_fraud_analytics_gcdb.wallet_mesh_data_curated where createyear=date_format(date_add('hour', -1, current_timestamp),'%Y%') and createmonth =date_format(date_add('hour', -1, current_timestamp),'%m%') and createdate=date_format(date_add('hour', -1, current_timestamp),'%d%')) ), mesch_stat as ( SELECT count(distinct ewsid) mesh_count from wallet_fraud_analytics_gcdb.wallet_mesh_event_data_curated where createyear=date_format(date_add('hour', -1, current_timestamp),'%Y%') and createmonth =date_format(date_add('hour', -1, current_timestamp),'%m%') and createdate=date_format(date_add('hour', -1, current_timestamp),'%d%') ) select (case when (enriched_stat.enriched_count - mesch_stat.mesh_count) > 95 then (enriched_stat.enriched_count - mesch_stat.mesh_count) else 0 end) from enriched_stat,mesch_stat ",0,Active
